augmentation,run,train_accuracy,val_accuracy,test_accuracy
no_augmentation,1,99.8167379352474,82.4390243902439,76.20837808807734
no_augmentation,2,99.93891264508247,78.78048780487805,76.20837808807734
no_augmentation,3,98.35064141722664,76.82926829268293,71.42857142857143
no_augmentation,4,100.0,81.70731707317073,73.36197636949517
no_augmentation,5,99.69456322541234,80.48780487804878,74.38238453276047
color_jitter,1,92.11973121563837,77.8048780487805,76.42320085929109
color_jitter,2,93.21930360415394,81.70731707317073,77.06766917293233
color_jitter,3,81.30726939523518,74.14634146341463,72.18045112781955
color_jitter,4,81.85705558949297,70.48780487804878,72.77121374865736
color_jitter,5,91.56994502138058,78.29268292682927,76.85284640171858
random_rotation,1,91.56994502138058,82.1951219512195,76.69172932330827
random_rotation,2,95.47953573610263,79.51219512195122,76.10096670247046
random_rotation,3,94.80757483200978,82.4390243902439,77.92696025778733
random_rotation,4,95.90714722052535,82.4390243902439,77.17508055853921
random_rotation,5,88.02687843616371,79.51219512195122,73.79162191192266
random_horizontal_flip,1,95.72388515577275,84.63414634146342,76.3157894736842
random_horizontal_flip,2,97.80085522296885,80.73170731707317,76.79914070891515
random_horizontal_flip,3,96.88454489920586,80.2439024390244,75.08055853920516
random_horizontal_flip,4,94.13561392791692,79.7560975609756,74.2749731471536
random_horizontal_flip,5,96.64019547953573,77.5609756097561,74.86573576799141
random_affine,1,79.78008552229689,78.04878048780488,75.99355531686359
random_affine,2,85.5222968845449,83.17073170731707,79.80665950590763
random_affine,3,87.41600488698839,82.4390243902439,77.28249194414607
random_affine,4,85.3390348197923,79.7560975609756,77.12137486573577
random_affine,5,85.1557727550397,86.34146341463415,79.00107411385606
random_resized_crop,1,92.73060476481368,81.21951219512195,76.96025778732546
random_resized_crop,2,91.38668295662798,78.78048780487805,74.7046186895811
random_resized_crop,3,90.65363469761759,78.04878048780488,72.9860365198711
random_resized_crop,4,93.5247403787416,78.78048780487805,76.85284640171858
random_resized_crop,5,87.53817959682345,77.3170731707317,75.02685284640172
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,1,79.47464874770922,78.78048780487805,76.36949516648765
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,2,81.49053145998778,77.8048780487805,77.06766917293233
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,3,78.98594990836897,80.0,77.06766917293233
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,4,81.30726939523518,80.2439024390244,76.69172932330827
color_jitter+random_rotation+random_horizontal_flip+random_affine+random_resized_crop,5,79.71899816737935,78.04878048780488,78.41031149301826
